date,region,course,off,race_name,race_type,rating_band,age_band,sex_rest,dist,dist_f,dist_m,going,ran,num,pos,draw,ovr_btn,btn,horse,age,sex,lbs,hg,time,secs,dec,jockey,trainer,prize,or,rpr,sire,dam,damsire,owner,comment
2023-03-15,GB,Kempton (AW),7:00,Road To The Kentucky Derby Conditions Stakes (GBB Race),Flat,,3yo,,1m,8f,1609,Standard To Slow,7,7,3,6,0.75,0.5,Tenjin (GB),3,G,133,h,1:39.91,99.91,15.00,Darragh Keenan,John Ryan,7254,97,98,Night Of Thunder (IRE),Notary GB,Lawman,Jon A Thompson,Took keen hold - held up in rear - headway over 1f out - ridden inside final furlong - made strong challenge final 110yds - kept on but held towards finish(op 11/1)
2023-03-15,GB,Kempton (AW),7:00,Road To The Kentucky Derby Conditions Stakes (GBB Race),Flat,,3yo,,1m,8f,1609,Standard To Slow,7,4,4,1,2.75,2,Killybegs Warrior (IRE),3,C,133,,1:40.31,100.31,9.00,William Buick,Charlie Johnston,3624,96,92,Saxon Warrior (JPN),Alltherightmoves (IRE),Namid,M Doyle,Pressed leader - led after 1f - ridden when headed but every chance 2f out - lost second inside final furlong - no extra final 110yds(op 9/1 tchd 15/2 and tchd 10/1)
2023-03-15,GB,Kempton (AW),7:00,Road To The Kentucky Derby Conditions Stakes (GBB Race),Flat,,3yo,,1m,8f,1609,Standard To Slow,7,3,5,7,3.25,0.5,Coco Jack (IRE),3,G,133,,1:40.41,100.41,15.00,Ben Curtis,George Scott,1812,96,91,Wings Of Eagles (FR),Bright Morning (USA),Storm Cat,Mprcroxford Kelly Mcphee Stephenson,Slowly away - raced in last - ridden 2f out - kept on inside final furlong - never on terms(op 10/1 tchd 9/1)
2023-03-15,GB,Kempton (AW),7:00,Road To The Kentucky Derby Conditions Stakes (GBB Race),Flat,,3yo,,1m,8f,1609,Standard To Slow,7,5,6,3,3.75,0.5,Lieber Power (GB),3,C,133,,1:40.51,100.51,3.00,Oisin Murphy,Andrew Balding,906,–,89,Cracksman (GB),Astrelle (IRE),Makfi,King Power Racing Co Ltd,In touch with leaders - ridden 2f out - soon outpaced(op 9/4)
2023-03-15,GB,Kempton (AW),7:00,Road To The Kentucky Derby Conditions Stakes (GBB Race),Flat,,3yo,,1m,8f,1609,Standard To Slow,7,6,7,2,4.75,1,Metal Merchant (IRE),3,C,133,,1:40.71,100.71,7.50,Rossa Ryan,Jack Channon,,92,86,Make Believe (GB),Whipped (IRE),Whipper,Recycled Products Limited Partner,Prominent - ridden over 1f out - weakened final 110yds(op 14/1 tchd 6/1)
2023-03-15,GB,Kempton (AW),7:30,Read Nicky Hendersons Cheltenham blog@unibetracing Handicap (London Stayers Series Qualifier),Flat,0-95,4yo+,,2m,16f,3217,Standard To Slow,7,1,1,3,0,0,Golden Rules (GB),6,G,140,,3:35.27,215.27,10.00,Oisin Murphy,Deborah Faulkner,7731,91,100,Golden Horn (GB),Sinnamary (IRE),Galileo,Gareth Cheshire,Made all - increased tempo and went clear 2f out - ridden over 1f out - kept on well(op 7/1 tchd 11/1)
2023-03-15,GB,Kempton (AW),7:30,Read Nicky Hendersons Cheltenham blog@unibetracing Handicap (London Stayers Series Qualifier),Flat,0-95,4yo+,,2m,16f,3217,Standard To Slow,7,6,2,7,1.25,1.25,First Emperor (GB),4,C,123,t,3:35.52,215.52,2.38,Billy Loughnane,John Ryan,3625.50,82,91,Galileo (IRE),Sky Lantern (IRE),Red Clubs,Bb Thoroughbreds,Held up in rear - steady headway from 4f out - ridden over 2f out - went second over 1f out - kept on but always held(op 11/10)
2023-03-15,GB,Kempton (AW),7:30,Read Nicky Hendersons Cheltenham blog@unibetracing Handicap (London Stayers Series Qualifier),Flat,0-95,4yo+,,2m,16f,3217,Standard To Slow,7,2,3,6,2.75,1.5,Diamond Bay (GB),5,G,136,,3:35.82,215.82,3.75,Sean Levey,Tom Ward,1813.50,87,92,New Bay (GB),Amarillo Starlight (IRE),Dalakhani,Ebury Racing 5,Prominent - went second 4f out - ridden over 2f out - lost second over 1f out - kept on(op 3/1)
2023-03-15,GB,Kempton (AW),7:30,Read Nicky Hendersons Cheltenham blog@unibetracing Handicap (London Stayers Series Qualifier),Flat,0-95,4yo+,,2m,16f,3217,Standard To Slow,7,7,4,5,4.5,1.75,De Vegas Warrior (IRE),4,G,124,t,3:36.17,216.17,23.00,Theodore Ladd,Michael Appleby,906,78,81,Lope De Vega (IRE),Oh Sedulous (IRE),Lawman,J A Young Leicester Ltd,Slowly into stride - towards rear - headway over 2f out - hung left when ridden over 1f out - went fourth inside final furlong - not pace to challenge (jockey said gelding hung left-handed under pressure)(op 28/1 tchd 20/1)
2023-03-15,GB,Kempton (AW),7:30,Read Nicky Hendersons Cheltenham blog@unibetracing Handicap (London Stayers Series Qualifier),Flat,0-95,4yo+,,2m,16f,3217,Standard To Slow,7,4,5,1,5.75,1.25,East Asia (IRE),8,G,133,,3:36.42,216.42,9.00,William Buick,Ian Williams,453,84,85,Iffraaj (GB),Chan Tong (BRZ),Hampstead,Sayed Hashish And Hana Refai,Prominent - disputing third when ridden over 1f out - weakened inside final furlong(op 7/1)
2023-03-15,GB,Kempton (AW),7:30,Read Nicky Hendersons Cheltenham blog@unibetracing Handicap (London Stayers Series Qualifier),Flat,0-95,4yo+,,2m,16f,3217,Standard To Slow,7,3,6,2,6.75,1,Military Two Step (FR),5,M,136,,3:36.62,216.62,7.00,Franny Norton,Charlie Johnston,226.50,87,87,Jukebox Jury (IRE),Step This Way (USA),Giants Causeway,C R Hirst Dougie Livingston,Raced in second - prominent from 4f out - ridden over 2f out - weakened inside final furlong(op 10/1)
2023-03-15,GB,Kempton (AW),7:30,Read Nicky Hendersons Cheltenham blog@unibetracing Handicap (London Stayers Series Qualifier),Flat,0-95,4yo+,,2m,16f,3217,Standard To Slow,7,5,7,4,9,2.25,Smart Champion (GB),8,G,128,h,3:37.07,217.07,19.00,Saffie Osborne,David Simcock,,79,76,Teofilo (IRE),Soryah (IRE),Shamardal,John Cook Partner,Dwelt start - raced in last and detached - headway 3f out - soon ridden - weakened over 1f out(op 22/1 tchd 16/1)
2023-03-15,GB,Kempton (AW),6:00,Unibet 3 Uniboosts A Day Novice Stakes (GBB Race),Flat,,3yo,,1m3f,11f,2212,Standard To Slow,5,3,1,3,0,0,Maasai Mara (GB),3,G,133,b,2:19.75,139.75,2.88,Oisin Murphy,John & Thady Gosden,3780,80,83,Roaring Lion (USA),Wekeela (FR),Hurricane Run,Qatar Racing Limited,Pressed leader - led over 2f out - soon went clear - readily(op 7/4)
2023-03-15,GB,Kempton (AW),6:00,Unibet 3 Uniboosts A Day Novice Stakes (GBB Race),Flat,,3yo,,1m3f,11f,2212,Standard To Slow,5,1,2,1,2,2,Another Run (IRE),3,C,133,,2:20.15,140.15,26.00,Joshua Bryan,Andrew Balding,1774.50,–,78,Zoffany (IRE),Mais Si GB,Montjeu,Another Bottle Racing 2,Prominent - pushed along over 2f out - went second over 1f out - soon ridden and edged right - no match for winner(op 20/1 tchd 18/1)
2023-03-15,GB,Kempton (AW),6:00,Unibet 3 Uniboosts A Day Novice Stakes (GBB Race),Flat,,3yo,,1m3f,11f,2212,Standard To Slow,5,4,3,2,7,5,Through The Ages (GB),3,G,133,,2:21.15,141.15,1.57,William Buick,Charlie Appleby,887.60,–,70,Golden Horn (GB),Rumh (GER),Monsun,Godolphin,Led - ridden when headed over 2f out - soon held - weakened final furlong(op 4/6)
2023-03-15,GB,Kempton (AW),6:00,Unibet 3 Uniboosts A Day Novice Stakes (GBB Race),Flat,,3yo,,1m3f,11f,2212,Standard To Slow,5,2,4,4,7,0.1,Hampden Park (GB),3,C,133,h,2:21.17,141.17,17.00,Hayley Turner,Andrew Balding,443.80,–,70,Sea The Moon (GER),Queens Dream (GER),Oasis Dream,Sir Alex Ferguson,Slowly away - raced in last - soon ran green and pushed along - went fourth over 3f out - ridden over 2f out - soon outpaced - kept on inside final furlong (jockey said colt ran green)(op 20/1)
2023-03-15,GB,Kempton (AW),6:00,Unibet 3 Uniboosts A Day Novice Stakes (GBB Race),Flat,,3yo,,1m3f,11f,2212,Standard To Slow,5,5,5,6,13,6,Flowers (GB),3,F,128,,2:22.35,142.35,26.00,Rob Hornby,Ralph Beckett,,–,55,Frankel (GB),Wildwood Flower (USA),Langfuhr,John Gunther,Prominent - pushed along over 5f out - dropped to last over 3f out - weakened over 2f out(op 22/1 tchd 20/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,4,1,11,0,0,Woodstock (GB),3,C,129,,1:40.53,100.53,1.80,Charles Bishop,Jack Channon,3780,–,76,Sixties Icon (GB),Isabella Bird GB,Invincible Spirit,Jon And Julia Aisbitt,Started quickly - made all - ridden over 1f out - kept on well inside final furlong - readily(op 4/7)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,8,2,7,1.75,1.75,Wadacre Gomez (GB),3,C,124,,1:40.88,100.88,11.00,Franny Norton,Charlie Johnston,1331.05,–,67,Brazen Beau (AUS),Wadacre Gigi GB,Martaline,Wadacre Stud,Pressed leader early - prominent after 1f - ridden over 2f out - kept on inside final furlong - forced dead-heat 2nd(op 20/1 tchd 9/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,13,2,14,1.75,0,Noble Sovereign (GB),3,F,121,,1:40.88,100.88,11.00,Oisin Murphy,Sir Mark Todd,1331.05,–,64,Night Of Thunder (IRE),Daintily Done GB,Cacique,Rivermonte Racing,Midfield - pressed leader after 2f - ridden and every chance over 1f out - kept on but held inside final furlong - joined for 2nd(op 18/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,11,4,5,2.5,0.75,Tempered Soul (GB),3,C,122,,1:41.03,101.03,3.25,William Buick,George Boughey,443.80,–,63,Massaat (IRE),Kalia Asha (IRE),Dark Angel,Teme Valley Racing,Prominent - ridden over 2f out - kept on until no extra towards finish(op 2/1 tchd 5/2)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,6,5,6,2.5,0.1,Chriszoff (IRE),3,C,124,,1:41.05,101.05,10.00,Kieran Shoemark,Archie Watson,,–,65,Zoffany (IRE),Countess Chrissy GB,Declaration Of War,Hambleton Racing Ltd Xviii Partner,Midfield - ridden 2f out - ran on well inside final furlong(op 10/1 tchd 17/2 and tchd 11/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,3,6,2,4.5,2,The Waiting Game (GB),4,F,135,,1:41.43,101.43,251.00,Dylan Hogan,Jack Jones,,–,59,Due Diligence (USA),Critical Speed (IRE),Pivotal,Howell Jenkins,Slowly away - towards rear - midfield after 1f - shaken up and headway from 2f out - kept on inside final furlong - not pace to challenge(op 150/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,5,7,4,8.25,3.75,Aussie Mystic (GB),3,G,124,t,1:42.18,102.18,34.00,Callum Shepherd,Charlie Fellowes,,–,51,Australia (GB),Hyper Dream (IRE),Oasis Dream,Dahab Racing,Prominent - ridden 3f out - weakened inside final furlong(op 28/1 tchd 25/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,14,8,10,10.5,2.25,Exquisite Beauty (GB),3,F,117,,1:42.63,102.63,126.00,Hayley Turner,William Jarvis,,–,39,Bobbys Kitten (USA),Salome (FR),Fuisse,Paul Malone Damien Tiernan,Never better than mid-division(op 40/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,7,9,13,11.5,1,Greek Giant (IRE),3,G,124,,1:42.83,102.83,81.00,Saffie Osborne,Ed Dunlop,,–,44,Teofilo (IRE),Balakera (IRE),Dansili,Paul Turner,Slowly into stride - always towards rear(op 66/1 tchd 100/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,1,10,12,14,2.5,Sapperdean (GB),4,G,140,h,1:43.33,103.33,251.00,Rhys Clutterbuck,Luke Dace,,–,42,Adaay (IRE),Beleave GB,Avonbridge,The Hamptons Racing Partnership,Prominent - ridden over 2f out - weakened over 1f out(op 100/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,2,11,8,14.5,0.5,Our Land (GB),4,F,134,,1:43.43,103.43,251.00,Paddy Bradley,Mark Pattinson,,–,37,Territories (IRE),Lucinda Jane (FR),Pivotal,Guy Heald,Slowly into stride - always towards rear(op 150/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,10,12,1,15,0.3,Portoro (GB),3,G,122,h,1:43.53,103.53,151.00,Luke Morris,John Butler,,–,34,Outstrip (GB),Cat Hunter GB,One Cool Cat,David Cohen Martin Dunne,Always towards rear(op 125/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,9,13,3,19.5,4.5,Magnusson (GB),3,G,119,,1:44.43,104.43,81.00,Laura Pearson,Kevin Philippart De Foy,,–,23,Territories (IRE),Broughtons Revival GB,Pivotal,The Cartier Project,Midfield - headway 2f out - soon ridden - weakened final furlong(op 150/1)
2023-03-15,GB,Kempton (AW),6:30,Unibet Horserace Betting Operator Of The Year Restricted Novice Stakes (Horses In Bands C/D) (GBB),Flat,,3-5yo,,1m,8f,1609,Standard To Slow,14,12,14,9,21.75,2.25,Mrs Van Hopper (GB),3,F,119,,1:44.88,104.88,151.00,George Rooke,Jonathan Portman,,–,14,Adaay (IRE),Beatrice Lacey GB,Swiss Spirit,Turf Club 2022 Partner 1,Midfield - weakened over 2f out(tchd 125/1)
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,3,1,9,0,0,Golden Dove (GB),5,M,137,,2:34.72,154.72,6.00,Darragh Keenan,Simon Earle,3140.40,66,75,Golden Horn (GB),Laughing Dove (IRE),Tamayuz,Mrs Moni Williams,Held up in last - good headway from 2f out - went fourth and ridden 1f out - kept on well final 110yds - led final strides(tchd 9/2)
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,12,2,2,0.2,0.2,Wheres Tom (GB),8,G,131,v,2:34.76,154.76,7.50,George Rooke,Michael Madgwick,1473.60,60,69,Cape Cross (IRE),Wheres Susie GB,Where Or When,Recycled Products Limited,Prominent - ridden over 2f out - led inside final furlong - kept on final 110yds - headed final strides(op 6/1)
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,6,3,6,1.25,1,Early Morning Dew (FR),7,G,136,,2:34.97,154.97,3.50,Jim Crowley,Jim & Suzi Best,736.20,65,72,Muhtathir (GB),Rosee Matinale (FR),Green Tune,Guy Dunphy Leon Best,Slowly away - in rear - headway from 2f out - ridden over 1f out - kept on inside final furlong - went third towards finish
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,9,4,13,2.5,1.25,Hashtagmetoo (USA),6,M,135,,2:35.22,155.22,17.00,Saffie Osborne,Jamie Osborne,368.40,64,69,Declaration Of War (USA),Caribbean Princess (USA),Henrythenavigator,The Other Club,Raced in second - led over 2f out - soon ridden - headed inside final furlong - no extra and lost two places final 110yds
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,7,5,4,2.5,0.05,Starfighter (GB),7,G,135,,2:35.23,155.23,10.00,Oisin Murphy,Mark Loughnane,183.60,64,69,Sea The Stars (IRE),Starlit Sands GB,Oasis Dream,Laurence Bellman,Midfield - headway but not clear run over 2f out - ridden and briefly went third over 1f out - kept on(op 15/2)
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,8,6,8,4.25,1.75,Silastar (GB),6,G,135,,2:35.57,155.57,9.50,Tom Queally,Gary Moore,,64,67,Sea The Stars (IRE),Silasol (IRE),Monsun,Silastar Racing Syndicate,Midfield - headway and going okay when clipped heels and stumbled 2f out - soon no chance but kept on(op 13/2)
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,13,7,12,5.25,1,Trojan Truth (GB),4,G,130,,2:35.77,155.77,29.00,Trevor Whelan,Ed de Giles,,60,61,Ulysses (IRE),Verity GB,Redoutes Choice,Woodham Walter Partnership,In touch with leaders - pushed along over 4f out - ridden over 2f out - weakened final furlong(op 33/1)
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,10,8,10,8.25,3,Aryaah (IRE),4,G,134,ht,2:36.37,156.37,81.00,Rhys Clutterbuck,Daniel Steele,,64,60,Dandy Man (IRE),Angel Grace (IRE),Dark Angel,Vectis Racing,Took keen hold - prominent - pushed along over 3f out - ridden 2f out - weakened 1f out(op 33/1)
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,1,9,11,10,1.75,Largo Bay (USA),5,G,133,p,2:36.72,156.72,12.00,Aidan Keeley,Michael Madgwick,,67,60,Flintshire (GB),No Panic (USA),Henrythenavigator,Joe Lane,Hampered start - always towards rear(op 8/1)
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,11,10,7,10,0.1,Torbellino (GB),7,M,133,,2:36.74,156.74,6.00,Luke Morris,Karen Jewell,,62,55,Maxios (GB),Tiny Smile (IRE),Celtic Swing,Neil Jane Maltby,Midfield - ridden over 2f out - weakened over 1f out(op 8/1)
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,5,11,3,11.75,1.75,Lawn Ranger (GB),8,G,136,,2:37.07,157.07,21.00,William Carson,Michael Attwater,,65,55,Cityscape (GB),Baylini GB,Bertolini,Canisbay Bloodstock,Led - ridden when headed over 2f out - weakened over 1f out(op 22/1)
2023-03-15,GB,Kempton (AW),8:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-65,4yo+,,1m4f,12f,2413,Standard To Slow,12,2,12,5,12.5,0.75,Racing Country (IRE),8,G,138,,2:37.22,157.22,51.00,Adam Kirby,Simon Pearce,,67,56,Dubawi (IRE),Movin Out (AUS),Encosta De Lago,Deerfield Syndicate,Always towards rear
2023-03-15,GB,Kempton (AW),8:00,Unibet Moneyback On Selected Cheltenham Races Handicap,Flat,0-55,4yo+,,6f,6f,1207,Standard To Slow,9,8,1,2,0,0,Hannahs Return (GB),4,F,124,,1:12.31,72.31,7.50,Taylor Fisher,Gary Brown,3140.40,49,60,Holy Roman Emperor (IRE),Hannahs Turn GB,Dubai Destination,K W Sneath,Prominent - ridden over 2f out - led over 1f out - reduced lead inside final 110yds - always doing enough(op 7/1 tchd 6/1)
2023-03-15,GB,Kempton (AW),8:00,Unibet Moneyback On Selected Cheltenham Races Handicap,Flat,0-55,4yo+,,6f,6f,1207,Standard To Slow,9,10,2,3,0.3,0.3,Viewfromthestars (IRE),4,G,127,h,1:12.37,72.37,5.00,Hayley Turner,Mark Usher,1473.60,47,57,Starspangledbanner (AUS),Condensed GB,Dansili,Champagne And Shambles,Held up in midfield - going easily and good headway 2f out - not clear run and switched left over 1f out - soon shaken up - kept on well inside final furlong - went second towards finish (jockey said gelding was denied a clear run approaching the final furlong)(op 7/2 tchd 10/3)
2023-03-15,GB,Kempton (AW),8:00,Unibet Moneyback On Selected Cheltenham Races Handicap,Flat,0-55,4yo+,,6f,6f,1207,Standard To Slow,9,6,3,5,0.5,0.2,Jenever (GB),4,G,132,,1:12.41,72.41,2.38,Lewis Edmunds,Jessica Macey,736.20,52,61,Swiss Spirit (GB),Dutch Mistress GB,Dutch Art,Goldrush Racing,Pressed leader - briefly led when ridden over 1f out - kept on but held inside final furlong - lost second towards finish(op 6/5)
2023-03-15,GB,Kempton (AW),8:00,Unibet Moneyback On Selected Cheltenham Races Handicap,Flat,0-55,4yo+,,6f,6f,1207,Standard To Slow,9,4,4,6,2.5,2,Griggy (IRE),7,G,133,,1:12.81,72.81,13.00,Finley Marsh,Adrian Wintle,368.40,53,56,Dandy Man (IRE),Joint Destiny (IRE),Desert Prince,Mrs Shelley Tucker Partnership,Prominent - ridden over 2f out - kept on final furlong(op 16/1)
2023-03-15,GB,Kempton (AW),8:00,Unibet Moneyback On Selected Cheltenham Races Handicap,Flat,0-55,4yo+,,6f,6f,1207,Standard To Slow,9,12,5,4,8,5.5,Oxygen Thief (IRE),4,G,126,,1:13.91,73.91,9.00,Joey Haynes,Chelsea Banham,183.60,46,31,Prince Of Lir (IRE),Spavento (IRE),Verglas,Mulligans Racing Club,Led - ridden and headed over 1f out - weakened final furlong(op 17/2 tchd 10/1)
2023-03-15,GB,Kempton (AW),8:00,Unibet Moneyback On Selected Cheltenham Races Handicap,Flat,0-55,4yo+,,6f,6f,1207,Standard To Slow,9,11,6,12,10.25,2.25,Liberty Bay (GB),5,M,121,,1:14.36,74.36,51.00,Aidan Keeley,Mark Usher,,46,24,Iffraaj (GB),Light Fantastic GB,Acclamation,Ushers Court,In touch with leaders - ridden 2f out - soon weakened(op 28/1 tchd 22/1)
2023-03-15,GB,Kempton (AW),8:00,Unibet Moneyback On Selected Cheltenham Races Handicap,Flat,0-55,4yo+,,6f,6f,1207,Standard To Slow,9,2,7,11,10.25,0.1,Forever Dreaming (IRE),4,F,134,b,1:14.38,74.38,5.50,Oisin Murphy,Rod Millman,,54,32,Dream Ahead (USA),Melrose Abbey (IRE),Selkirk,Jpm Racing Ii,Hung left throughout - held up in rear - raced wide 3f out - soon ridden - made no telling impression (jockey said filly hung left-handed throughout)(op 7/1)
2023-03-15,GB,Kempton (AW),8:00,Unibet Moneyback On Selected Cheltenham Races Handicap,Flat,0-55,4yo+,,6f,6f,1207,Standard To Slow,9,1,8,10,12,1.75,Runner Bean (GB),4,F,130,,1:14.71,74.71,151.00,Laura Coughlan,Ed de Giles,,55,27,Heeraat (IRE),Miss Meticulous GB,Bahamian Bounty,The Lam Partnership,Prominent - made challenge 3f out - ridden over 2f out - weakened over 1f out(op 66/1)
2023-03-15,GB,Kempton (AW),8:00,Unibet Moneyback On Selected Cheltenham Races Handicap,Flat,0-55,4yo+,,6f,6f,1207,Standard To Slow,9,9,9,7,41,29,Ubahha (GB),5,G,128,h,1:20.51,80.51,34.00,William Carson,Michael Attwater,,48,–,Dubawi (IRE),Taqaareed (IRE),Sea The Stars,Martyn Cruse,Slowly away - pulled hard - held up in rear - steadied when short of room 4f out - ridden and weakened over 1f out - eased inside final 110yds - bled from the nose (vet said gelding bled from the nose)(tchd 40/1)
2023-03-29,GB,Kempton (AW),7:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-105,4yo+,,7f,7f,1408,Standard To Slow,8,6,1,4,0,0,Mount Athos (GB),4,C,128,,1:26.26,86.26,1.73,James Doyle,James Tate,12885,96,110,Dark Angel (IRE),Ceaseless (IRE),Iffraaj,Sheikh Rashid Dalmook Al Maktoum,Made all - ridden over 1f out - ran on well(tchd 5/6)
2023-03-29,GB,Kempton (AW),7:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-105,4yo+,,7f,7f,1408,Standard To Slow,8,1,2,1,2.25,2.25,Rhythm Master (IRE),5,G,135,v,1:26.71,86.71,7.00,P J McDonald,James Horton,6042.50,103,110,Dark Angel (IRE),Pastoral Girl GB,Pastoral Pursuits,John And Jess Dance,Prominent - ridden 2f out - went second over 1f out - ran on but no match for winner(op 13/2 tchd 7/1)
2023-03-29,GB,Kempton (AW),7:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-105,4yo+,,7f,7f,1408,Standard To Slow,8,2,3,7,2.5,0.3,Vafortino (IRE),5,G,132,,1:26.76,86.76,6.50,Benoit De La Sayette,Kevin Philippart De Foy,3022.50,103,109,New Bay (GB),Arbaah (USA),Invasor,Venice Consulting S A Gilberto Gambini,Raced in second - pushed along over 2f out - lost second and ridden over 1f out - kept on(op 7/1)
2023-03-29,GB,Kempton (AW),7:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-105,4yo+,,7f,7f,1408,Standard To Slow,8,4,4,3,3.75,1.25,First Folio (GB),5,G,133,,1:27.01,87.01,6.50,Daniel Muscutt,James Ferguson,1510,101,103,Dark Angel (IRE),Lilian Baylis (IRE),Shamardal,Owners Group 083,In touch with leaders - ridden and outpaced over 1f out - kept on inside final furlong(op 9/2)
2023-03-29,GB,Kempton (AW),7:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-105,4yo+,,7f,7f,1408,Standard To Slow,8,3,5,6,4.25,0.5,Documenting (GB),10,G,134,,1:27.11,87.11,34.00,Jack Mitchell,Kevin Frost,755,102,103,Zamindar (USA),Namaskar GB,Dansili,Kf Humphreys Orr Glover Priestturner,Held up in rear - headway 2f out - pushed along over 1f out - no impression inside final furlong(tchd 28/1 and tchd 40/1)
2023-03-29,GB,Kempton (AW),7:30,25% Boost On Darts Profits @unibet Handicap,Flat,0-105,4yo+,,7f,7f,1408,Standard To Slow,8,5,6,2,5,0.75,Sir Dancealot (IRE),9,G,133,,1:27.26,87.26,26.00,Oisin Murphy,John Butler,377.50,101,100,Sir Prancealot (IRE),Majestys Dancer (IRE),Danehill Dancer,C Benham D Whitford L Quinn K Quinn,Midfield - pushed along and outpaced 2f out - kept on inside final furlong(op 16/1 tchd 14/1)
